quarantine_group,image_id,split,label_4,label_3,sha256,phash,exclusion_reason
source_leakage_0008,p1_02891,val,standing,standing,1fea35c3e0aaadd5fc8e5a6de73b2a55a504a0f470a8b00f06fa702ce249b72a,f10649f64f0f1ac9,cross_split_source_related
source_leakage_0008,p1_05934,test,standing,standing,87f3ab01612c4b6f33348af84a3a888dce23d0c18c44061ea74ed0a78a804372,f10668f24f0f1bc9,cross_split_source_related
source_leakage_0009,p1_03491,test,walking,walking_running,4a876abd4b6a06ce16f5dd07e2cdd5f443d389ecb4b425e57febb5876a92e175,9e1e587832cf4de0,cross_split_source_related
source_leakage_0009,p1_16069,train,walking,walking_running,5e32dc548a24d469abfc9b0239fcf580153429f8eac405c9fb515a54d840f7f1,9e1e587833cf49e0,cross_split_source_related
source_leakage_0010,p1_03588,train,running,walking_running,0a1ecd6a11cd0bef4268f4f7c782ecd44954d7cda1c54ce651839969947bf2f8,d2b34fcf1ad05c14,cross_split_source_related
source_leakage_0010,p1_03957,test,running,walking_running,7aafe1cbea4e7d663f2dfe407f198a22a7ce7f5980525417f91e3e53b7be25d4,d2b34fcf1ad05c14,cross_split_source_related
source_leakage_0011,p1_03657,train,sitting,sitting,241caa911605c6acaa9aa50a2fd4184fcf66195f94d4079f0527a03151f7c8ed,b5b9da0e6c861999,cross_split_source_related
source_leakage_0011,p1_14286,test,sitting,sitting,81c039e3abbb9785f93be6df0e86045a2bf47fe5a462a992fcabc30c36383f25,b5b9d20e6cc419d9,cross_split_source_related
source_leakage_0012,p1_03681,train,walking,walking_running,a48a6e41c8c38e7b9b5afd3076c6148f9de024b72017e78a18b39dfbbdb933d9,b3918ce44993acfc,cross_split_source_related
source_leakage_0012,p1_04831,val,walking,walking_running,20ac7839edf768f859831538445807e6fe30e3f93b50b5eec43b89817725172d,b3b18ce44897ac7c,cross_split_source_related
source_leakage_0013,p1_04172,train,walking,walking_running,fa0250c6a3acdc73eaba905ccb2543b6c3010c15ab889cd43d1fa663e097ccd8,92ce9a670b676531,cross_split_source_related
source_leakage_0013,p1_19801,val,walking,walking_running,4ff587f15bb2158448012088cf5af096919e8a116d0aaf944b842f28c0f6ba30,92cc9a6793636533,cross_split_source_related
source_leakage_0014,p1_04387,val,standing,standing,62ddb57b3c10a1ff23074461752d13db33ebcf301a1bf7531894f86504f3880e,b2c78bcc0c99d1bc,cross_split_source_related
source_leakage_0014,p1_05026,test,standing,standing,e8b985f5ba9168b457923ddf8cf7c492fc5caadd8f9efdde0503e961f270553c,b2c78bcc0c99d1bc,cross_split_source_related
source_leakage_0015,p1_04404,test,sitting,sitting,7bbcdf230bfb6abf93844aba19ac1e25e0b89762591ba4bd85f3c3e59f706893,a9965c2bc5c6235d,cross_split_source_related
source_leakage_0015,p1_13979,train,sitting,sitting,d6cbba543e338d6fa7b4aa4599dd853834fc08048e8ea1e1fdcd0dc6971aed45,a9b65629c5d6234d,cross_split_source_related
source_leakage_0016,p1_05016,val,sitting,sitting,2a60a5a638b40e2634b57e27ea4984361d350dd7b96b5d85615eb3354571791e,b9d6874b4c31d44d,cross_split_source_related
source_leakage_0016,p1_09325,train,sitting,sitting,03ae456b534cffddb4f9f3c6dbc0586658bc0a193e1cc27addc3cea6f2fc788d,b9d6174b6c31944d,cross_split_source_related
source_leakage_0017,p1_05272,train,standing,standing,1888712f6115f1bba99d77503d8d95271406d47eb7077dda452f0a979e8f332a,e49bd92296da1393,cross_split_source_related
source_leakage_0017,p1_11092,val,standing,standing,e4c835e92aa330e5a613322b732c658aa8ed3bd49d331bc53f10c0307f65e3fc,e49bd922b4da3391,cross_split_source_related
source_leakage_0018,p1_05881,train,sitting,sitting,a432470063f60b548c41be56c73b898b3ce55bcc52d922519c14cbaefe1db3e5,e686cc36cd338559,cross_split_source_related
source_leakage_0018,p1_24983,val,sitting,sitting,7378f043920a7da44e8c273da88be92265ccc5ce3c0c84a73403c9213a281c87,e686c638cc33897b,cross_split_source_related
source_leakage_0019,p1_05892,test,standing,standing,09705d387763a75098b1296436734715254dcee68c96e8354dde71b2d5831b26,9d9062b9e7609e66,cross_split_source_related
source_leakage_0019,p1_14161,train,standing,standing,c70f336bc83900e4bd811c449e1482dbb18316da68de4b76a3beb96c1edeb118,9dd062b9e7609d62,cross_split_source_related
source_leakage_0020,p1_05980,val,sitting,sitting,498c1121b85a7fd35085842fc4f89ca08ee77e3b899c235bfe492edd74267f5d,989ee336ce219a47,cross_split_source_related
source_leakage_0020,p1_18234,test,sitting,sitting,e806b99cc4fae21c40b12b006fbe23a118966586d8a267ce517944d645b87d5d,989ce3364e619b47,cross_split_source_related
source_leakage_0021,p1_05991,train,sitting,sitting,75d1498e29721487f80b4bc4ff8074528fb6a62bba2b2ac05fc06d274d563d02,9448179ff6d94887,cross_split_source_related
source_leakage_0021,p1_23258,test,sitting,sitting,f54fa89a8e27857bc47c7ea1df7c624a8c4629fbf16541f9430a274f69cb7d5a,94481f9fe6d94887,cross_split_source_related
source_leakage_0022,p1_06161,test,standing,standing,6e7a82cabb2bca43809f9ea9d6ee46342f4604b83f25892461ba082606c389fa,ae91d0ce6b6c3447,cross_split_source_related
source_leakage_0022,p1_19000,train,standing,standing,58f3e09144b6ecfae60c7fa232ebca72cc227c9bc170d61e6296b00ad0ba9cc2,ae91f0ce6b6c3047,cross_split_source_related
source_leakage_0023,p1_06375,train,sitting,sitting,1d323598b230b820f87b65e202e78e9510e5623191b87d3f561c43b316b8ce44,ce19f11d47289ccb,cross_split_source_related
source_leakage_0023,p1_12110,val,sitting,sitting,761195ddabe9e0b3f1530488576f4cf087ef547c901ee5b472bd90849a407bb8,ce19f11d47289ccb,cross_split_source_related
source_leakage_0024,p1_06653,test,running,walking_running,57f44f9520059ed8759e93e22c9b86c4658fc6386974e261c8015b2b9e94680c,89f7b60149ea1d95,cross_split_source_related
source_leakage_0024,p1_24185,train,running,walking_running,5e03f02df21b5f54756349bf2b65db13f0f2ecb5284ad009df601e7722511a21,89f7b60149ea1d95,cross_split_source_related
source_leakage_0025,p1_07140,val,sitting,sitting,2e806681becfda36eb6927626d6dc49be71dd4bbd8e98ffdabdb5613477f168b,f387914a8736dc38,cross_split_source_related
source_leakage_0025,p1_09935,train,sitting,sitting,b257ea94ac331693346800572969e5ca9cd0ce47bef49d00a8c5fb1f7dc00e41,f287994a87369939,cross_split_source_related
source_leakage_0026,p1_07242,val,standing,standing,47ba8ac32e979f01d87b8e4fc2fe7a7105cbb4725e5f48aaad915e5236f0223a,f3983358249b46ee,cross_split_source_related
source_leakage_0026,p1_18932,train,standing,standing,1016e735f4f28ab4a082a8d2bcf9102b5aecf62397e21ac65539509fe29a080a,f398315c249b46ee,cross_split_source_related
source_leakage_0027,p1_08322,train,standing,standing,de42e58b49864c5b5b35b839b2ebeed9d7e3efca2f0f4ea8be075abff8df2160,d4d5859042ebbd17,cross_split_source_related
source_leakage_0027,p1_14793,test,standing,standing,869589d101144cd14884b74c06a8e989e788163a69ea00d54e9a70556ae11def,d5d5849842eebd13,cross_split_source_related
source_leakage_0028,p1_08323,train,sitting,sitting,8ef461d9c6e6312752bb9e042d9703f78db0e36d65a10232817fd21a84300ed0,aca6913b666198db,cross_split_source_related
source_leakage_0028,p1_17025,val,sitting,sitting,2b6811be1f39e5ac1c9b4179fa2e7e4d9479d154fb4452a1487113abfe1a660b,aca4933b676198d9,cross_split_source_related
source_leakage_0029,p1_08423,train,running,walking_running,13761a631d6f3955c9e35e7c0d0e28405a859081b915363b621afd9e0efda32e,d2d38d4c1193e7f0,cross_split_source_related
source_leakage_0029,p1_23768,val,running,walking_running,0433d843a51244fafe4832097c7dfa2c4d6c8f0af63f089dbffcb3cb6dfe4165,d2d38d0c1993e6e3,cross_split_source_related
source_leakage_0030,p1_09328,val,sitting,sitting,ce3e4bf91338018b6cce5d7aa8cc22fa0dfb3cbbc2bb6e61203e610919162b6a,d66b68b051da49b5,cross_split_source_related
source_leakage_0030,p1_34100,train,sitting,sitting,24844f59529e48fba873c7fae66cf818fb0d53b39bc456fc74ea41ee3a0e4396,d67a68b051da49b5,cross_split_source_related
source_leakage_0031,p1_09469,val,standing,standing,a2a8bdfef516d9e9c882e66471c8b70427ede7e33d45ab8bc51a175fd9d74143,92a539cd96677318,cross_split_source_related
source_leakage_0031,p1_11583,train,standing,standing,10ffcaf18afeab8143bc3d144da8b624d9ea4934f0f3f5c79328f7358abeb97e,9ae539cdb2663318,cross_split_source_related
source_leakage_0032,p1_09525,test,sitting,sitting,c818d4afddb0e9e06a1e637797dad1098b860a235d03db2d1a2564b7f7baa550,cc99373272cc991e,cross_split_source_related
source_leakage_0032,p1_23691,train,sitting,sitting,2d6cd4962832562faf2f6f84e7d9bb1c28868dee8180edc97eb3aac998254ad9,c8193f3662cd991e,cross_split_source_related
source_leakage_0033,p1_09545,test,standing,standing,d7bb194480282cfc8c398b75b181dd1eb44df4506f3d4b870abeb3a33e0944a0,f7b3c9cc0c2c489b,cross_split_source_related
source_leakage_0033,p1_28171,train,standing,standing,c14998be1a9a2f0923dfea239cd62eb990337c14c6274ff5b4c72a305f17fbc0,f7b3c9cc0c2c489b,cross_split_source_related
source_leakage_0034,p1_11148,train,sitting,sitting,791504e94a0fd2adcb5c4d84841911c49c7abee277b0f7ca419e88558266ffc7,e5b68b6646a99269,cross_split_source_related
source_leakage_0034,p1_13639,val,sitting,sitting,059e699ea8f01d86190effb439309d56a3cf20c2d0924b671dcdc92852c12d40,e5b68b6646a99269,cross_split_source_related
source_leakage_0035,p1_11307,train,sitting,sitting,5052c4cf6869bbc9633512b0a8a8970e32281b726b180e1f49b879cebc072b54,909a6927c73cf847,cross_split_source_related
source_leakage_0035,p1_17166,val,sitting,sitting,ae1c205afcee0121836f6e4467c3d3406fd3733e0094ebdc77e4c66fa00696dc,909a7867c738f847,cross_split_source_related
source_leakage_0036,p1_11627,train,standing,standing,c289059453cf9f55b024c72eb26de3c067cba047c347db87d261606381be8032,adc3d00b2df09b87,cross_split_source_related
source_leakage_0036,p1_22385,test,standing,standing,fa5cffedee3783fc920198d886ac6d666522860c1dab13ab85f0bdedde066292,adc3d00b3df09387,cross_split_source_related
source_leakage_0037,p1_12489,test,sitting,sitting,5a06f82fb9804c5b2e3de97cc32acf4706c1bc9eabcd4ac41a3298aa1152c4f3,b3564f2b580db519,cross_split_source_related
source_leakage_0037,p1_18547,train,sitting,sitting,c67d4f937c0b019a1fe2b5a16f817c4a0fee3805c7ba3a1fdbf5f47e331481c6,b3764f2b5805f419,cross_split_source_related
source_leakage_0038,p1_12524,val,standing,standing,77b42c488b940f5e6d4cf4b4e531c64237f6eafd8fb5a198413a9bd4d89092e0,b4cb935c0cccd327,cross_split_source_related
source_leakage_0038,p1_19977,train,standing,standing,efe01cd1f3158cae6eec6d756d6728ecdff5d1c3378de8fc1e5e25f8cf1a7414,b4cb934c2cccd327,cross_split_source_related
source_leakage_0039,p1_14169,val,running,walking_running,f0adc16b55e50deb6a5412fc261aa5aa2548d0e6c97d8769d1bdc1d49b7ecf4e,d91ca577361cc38a,cross_split_source_related
source_leakage_0039,p1_17640,train,running,walking_running,cf2ed8208dec68729daec2bf8c2f9aeea697fba9c2ee47466b6fb027ff1ea5c3,d918a577361cc3c3,cross_split_source_related
source_leakage_0040,p1_14742,val,standing,standing,2bf9d2279ec5104597e00aa4220dd878fecec4182c37d77644764c818bfcb3ba,89a9545e662697d6,cross_split_source_related
source_leakage_0040,p1_21288,train,standing,standing,5600160b0a837046328b9e61d22b9ead77492b7c1f72c34a90de861c36ab972b,a9a9545666269dd3,cross_split_source_related
source_leakage_0041,p1_15110,train,standing,standing,ec4ad006a03bb7bd8efcb885960836b212f32c7e8dfac04158dc243ef862b828,ac8c529b73239b71,cross_split_source_related
source_leakage_0041,p1_23002,test,standing,standing,3bd7c2d630191505fa13cce5a9811be1a79fcf77e22a8f3819664855ccebc344,ac8e52bb73239a61,cross_split_source_related
source_leakage_0042,p1_15259,test,running,walking_running,36476ba36ca8d69d933c24875b01accf041f56af66a1a6f8d469301282b2397b,b83cc63ef8a358c2,cross_split_source_related
source_leakage_0042,p1_23920,train,running,walking_running,77dc974253ad68d11ad529e11376348a5f7721aedb15cbd2bee5fe92ab8ee9b4,9e7cc31e78a31cc2,cross_split_source_related
source_leakage_0043,p1_15290,val,standing,standing,d910c4804f1b9a414260cce76542a23d9bc1626bff39a3034d8d23aac93d76c3,c4993d6619673366,cross_split_source_related
source_leakage_0043,p1_26141,test,standing,standing,903d924137ffc570de014637a1ee588f2a179f35de252a36883abce03e8143a7,c499396619677366,cross_split_source_related
source_leakage_0044,p1_15527,test,standing,standing,c6664a6f6c189a04124986068fabc77a98f75ec032808d6e8ed474c729598cb8,9cf8c3478b5df00a,cross_split_source_related
source_leakage_0044,p1_23822,train,standing,standing,211498b61dfc969cc4e1c826ec8b80303c07cc454b36726c1d081a2ef10f7e3f,9cf8c3478b7de00a,cross_split_source_related
source_leakage_0045,p1_16912,train,sitting,sitting,9fbe55ebe5abeacd17f9aed4de5446dd271c132b51939c6e8239ae1372642f0a,f8c7da1c686c87c4,cross_split_source_related
source_leakage_0045,p1_22915,val,sitting,sitting,a89e2f049fdae41e267a8b7bda86602f79b2dd163a0d77964d34487e6db095e9,f8c7de1c686887c4,cross_split_source_related
source_leakage_0046,p1_17462,train,running,walking_running,86847023383390ffb34f54f85bb75e6ebe59a1d1036ce7839d33a6bb35f0f4f9,f1c70edc0cf14ab1,cross_split_source_related
source_leakage_0046,p1_21704,val,running,walking_running,4569e68a27ad554a1b62b7506dc193a7cbd56b1721992542998ddc5b112a5007,f1c70edc0cf14ab1,cross_split_source_related
source_leakage_0047,p1_19715,test,sitting,sitting,a6d3ac35b72a43c9fe5e5140d58150969bc7d562a55f1bbf804630f880c2242a,c3cd9c3936633c58,cross_split_source_related
source_leakage_0047,p1_26594,train,sitting,sitting,f2263d45eebb2b5baf55012e3a985cbbb7f0d4bb8c929d6d6707f585c70184c0,c3cd9c3c36633c58,cross_split_source_related
source_leakage_0048,p1_19788,test,standing,standing,88136cfc75279d2bf8029d8dd702c9ce5610fb7387159de4274acc387f9ea0fb,f2998dcb99345c26,cross_split_source_related
source_leakage_0048,p1_24376,train,standing,standing,dfdfab0539f7fa8ce860ca570dc341c187a172213379c0985789bec4174df5f2,f2998dcb99345c26,cross_split_source_related
source_leakage_0049,p1_20548,val,running,walking_running,2b1e687130e85a6554bb5c6be768b7cd6cd29a3d7b03df62ec18f121dd2ef9d9,a761999ab287cc6c,cross_split_source_related
source_leakage_0049,p1_22048,train,running,walking_running,19d60434ce3804a7932d7671d8b342aabafe6c425314b7a7a5836e0a874bb634,a7658d9ab287cc4c,cross_split_source_related
source_leakage_0050,p1_21374,train,sitting,sitting,b85d9b75a49f752d1b63fdf1f36c4df6c876c5a25bf3c7d9e62578b3a3f0a09a,cc3c63167a733147,cross_split_source_related
source_leakage_0050,p1_24519,test,sitting,sitting,d40997866735a3c14902df7d7c32c4c673ccaecc8b2e82d80a815bd61a92915a,cc1c7316327331e7,cross_split_source_related
source_leakage_0051,p1_21580,train,standing,standing,e4a07e2e97229f838b619fc88d294b96f35cb45aee7642a4b458ba96e406a35f,f8c586967893c966,cross_split_source_related
source_leakage_0051,p1_27852,test,standing,standing,ca6d4606e53e087e57390ca42023fcd04e5a320f7aff0eafc6c716c7d184278a,f885c69678938d4e,cross_split_source_related
source_leakage_0052,p1_21647,train,standing,standing,917166f10a8e5d4b499a77477cfd953a4cdd7abe29fdf8b81d5e4d323841d6c7,e3925cc9728c7693,cross_split_source_related
source_leakage_0052,p1_29061,val,standing,standing,7b154e7fd6ad7731fb29401ff0d862b9e9887278f1dd0d4071263f0d6ab8652e,e3d65cc9228c7693,cross_split_source_related
source_leakage_0053,p1_24934,val,sitting,sitting,35d89ac4a608ff794195f2c49455515d2cbcb9f3ba0d010225f9f04ca57642e1,e58c9c6ba3d49293,cross_split_source_related
source_leakage_0053,p1_25734,train,sitting,sitting,962cbf59d83c6e42c5590a476be45b51350c7d343934f8433db01ea1f7c8bee4,e58d9c7ba3969290,cross_split_source_related
source_leakage_0054,p1_25159,train,standing,standing,b215b24621bf6b330f922d5907e111f77392cacce2194a8b6b2933f75ea9d519,f3b38dcc8c3463b0,cross_split_source_related
source_leakage_0054,p1_27718,test,standing,standing,d34e1fb4f146cfcacea680c11d47dce60015f2672f8a6e3ead5916c26e14e7ed,f3b38dcc8c2463b2,cross_split_source_related
source_leakage_0055,p1_25454,train,walking,walking_running,30380844b5e153b61ac20e3d34cdbe937b5e259719fbf57d0e65bc0b00414aa3,99191961e1e75e5a,cross_split_source_related
source_leakage_0055,p1_25470,val,walking,walking_running,fe289d230885536e63296a48788e56a391cabeaa7344baf5b9441cd8c8b85f00,991919e5e5e65a1a,cross_split_source_related
source_leakage_0055,p1_29608,train,walking,walking_running,d005ce9b185b2792e155ee6c1896889637eaf6ae90a588965b11bd7e0e936841,d91919e6e4e65a1a,cross_split_source_related
source_leakage_0056,p1_25461,train,walking,walking_running,231053ce614373777d15e27a9d26e88625acdd2ea04e08db295f3dac45007fe2,cc0c0ea5b5e3e3c3,cross_split_source_related
source_leakage_0056,p1_25870,val,walking,walking_running,a6b524ee5c9ad5a7ba91a8ecd4da249006df7dd095bcf950a08c9417be543982,cd0c2e35b1e3c3c3,cross_split_source_related
source_leakage_0057,p1_25541,val,sitting,sitting,c9401066c7b4e59f640b241fa3bef3d9b5011ed4a3061a3b9e0f566879e2d384,e9879a9838cb713c,cross_split_source_related
source_leakage_0057,p1_28309,train,sitting,sitting,3edb1780490e66a8ea917997067bc5c256277c34893cdf48f45b7c3090ca0008,e9879a9c39cb113c,cross_split_source_related
source_leakage_0058,p1_28380,train,standing,standing,74e0a4ed80cf0978a6655c65cea0b39df1b76c20ed33699c5196d50b53954db1,b4f3cfd8232c5036,cross_split_source_related
source_leakage_0058,p1_29392,val,standing,standing,0a1366e3ebab2c3593484f82b9dfdc920955b5ea3b811f185ab0e9fa46d12548,b4f3cfd8232c7026,cross_split_source_related
source_leakage_0059,p1_30052,train,standing,standing,3309800207eb9904de9bc57f0a114f3edfc4ef269da6f0e75f45b860960be7d6,e194c79839619bce,cross_split_source_related
source_leakage_0059,p1_30973,val,standing,standing,4523b5908d4b44ed2d49718249dcba4be2ef22bbf6a81870d4bee01a8d6f42ba,e194c79839619bce,cross_split_source_related
source_leakage_0060,p1_30530,train,sitting,sitting,14ebbce190789ee5a0054cea86090932455fbf78f079201d361ac6d15da7cbaa,bb4e937464a2ae64,cross_split_source_related
source_leakage_0060,p1_32421,val,sitting,sitting,3d1ccc9b0c2a2347971420260e5660ca9d71dd7bdb45b1a70a345f01ecb78d75,b34e93746ca6ac64,cross_split_source_related
source_leakage_0061,p1_34700,val,sitting,sitting,c6683c73de06685b0133cb46e5a6b1c15d551a756391374d366b0c30bf6ab385,eb94347269e91678,cross_split_source_related
source_leakage_0061,p1_35016,train,sitting,sitting,ef18b5e8cd38308518813e02ab44098fff7d969cc0700c54d0820759fdc1c028,eb94347269e9166a,cross_split_source_related
