image_id,split,label,label_index,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,image_sha256,annotation_sha256,source_group
p1_02145,test,jumping,5,44,19,262,325,41e95868ad69b301b3e93c5fdea1169cec34a54f6f78f3e9a59e41ff76552130,1f30d8f2ca0e2549fefb0bccbcf57b3c52dab22ee666e3ebcfd0a3c6eaf5e4e4,source_p1_02145
p1_02469,test,standing,1,32,175,95,385,1572a34526c3158104a8fa9c5296f2818ec019a021c56b22685799f9b8ca0312,2e68147708654caffafe95beb3b0cbd316e96c5159ae02ce50cf40d2a356a8a0,source_p1_02469
p1_02676,test,walking,2,90,44,301,444,108c1671f345adf640189a0cd417258f965ec05fb381e4378f6ff8d511eb3787,fa7ab943b181b98c7e058c61334b191d8f48d20a706fad07f9c2aef4a632e9e3,source_p1_02676
p1_02891,val,standing,1,172,36,284,392,1fea35c3e0aaadd5fc8e5a6de73b2a55a504a0f470a8b00f06fa702ce249b72a,0c606375a60adcfb53b046001ca707ff2ee158450771d536459f14aff4f400c6,source_p1_02891
p1_03491,test,walking,2,57,8,245,513,4a876abd4b6a06ce16f5dd07e2cdd5f443d389ecb4b425e57febb5876a92e175,1835a97132e34b8c535325e67a403c4ed626c3e6a0debade32191421ba6b5ec2,source_p1_03491
p1_03535,train,bending,4,142,102,239,335,80df809deabac0670397f984b4e4bd3046bc3382122668a13e69692c51d8f568,868de67f64ea97a77ea6499a87ede88c1086ea93e1147c92def556e0ed140d78,source_p1_03535
p1_03578,test,standing,1,36,186,96,395,82b90ef2f2c53f6e7105a24373a052bea0f62fd42d167145adc7f043dc852de8,94bf3bf155dd78283df49f3e71a93356ee5f53e96948bab95ab728e5a482119b,source_p1_02469
p1_03588,train,running,3,88,37,238,381,0a1ecd6a11cd0bef4268f4f7c782ecd44954d7cda1c54ce651839969947bf2f8,92adf8f24fad37b183f4652c4a41bf8ff0eda508668c8a8ffd24affd18b3f2c3,source_p1_03588
p1_03611,train,bending,4,190,0,329,199,b12ebb1df68a03c4f24253531536fa80be7ea1a4ad417fac4336f3b34cd85280,5c3427c8732fe14c9aa27275dc4f07c884bc9787f32c714be59bafb011376800,source_p1_03611
p1_03657,train,sitting,0,8,55,363,559,241caa911605c6acaa9aa50a2fd4184fcf66195f94d4079f0527a03151f7c8ed,d62189fa0a1a274ed2287bdc266c7a576e6847f1c4eb792aa0d0b1cea160f99c,source_p1_03657
p1_03681,train,walking,2,82,53,225,506,a48a6e41c8c38e7b9b5afd3076c6148f9de024b72017e78a18b39dfbbdb933d9,9c8ca71b63cd8f384b112640ea5835fd6c3e7df0fb2438e2fcc1b9c96a239483,source_p1_03681
p1_03844,test,jumping,5,105,54,386,442,6f7bf3e4387c645b2e66945a76b7ef170ec06191baa4c8bcbe5256145c7d7179,70eae9780e1dff9dfd770e1b8abbd9a36d832c56cfee846acc8be93fe42d9e8c,source_p1_03844
p1_03924,val,walking,2,206,20,333,431,9db580c3dbe12f784ccf5f52cb49657e46f700fb565a8e9f1362d0af5437f106,8587544c49032824788108f9651e0a609e9d0e0c742c21351f81b58388041cf7,source_p1_01038
p1_03957,test,running,3,79,27,212,312,7aafe1cbea4e7d663f2dfe407f198a22a7ce7f5980525417f91e3e53b7be25d4,d98d8528b124d36847139ae7e972caf765b37660c2a093b8065748be92596edf,source_p1_03588
p1_04088,val,walking,2,97,50,354,534,5ca2cd977822f740a12984aac378d10b4d632c8b522e12ff44fa68723c98b004,54c81ee2de06de0e1a9e491f40642add6d9d83b5386f6de97d334029492ecabe,source_p1_02676
p1_04132,train,jumping,5,48,9,247,391,ba9c5931bdf3c9672bc767923d936250e3cc06f75bdce4fb941ac42020197e2c,98dbc42ccac67fb304a50dc99813549e1a6d3062ee7634464de7bd01aec704f1,source_p1_04132
p1_04172,train,walking,2,282,117,332,280,fa0250c6a3acdc73eaba905ccb2543b6c3010c15ab889cd43d1fa663e097ccd8,fb20ed85dbb6b63a9166e8c692ae7917d5d7ed00d856a2c525fa548287d6dc10,source_p1_04172
p1_04237,test,stretching,8,110,73,498,295,e52d03e66ce753982e7d9db5ffd69fbdd2d92cf3ab450562b328fb5369deea14,e4e7c17a550c05e10a2a8f24ce831c589841af132772f4e0ca8413c49b083351,source_p1_04237
p1_04387,val,standing,1,73,60,272,594,62ddb57b3c10a1ff23074461752d13db33ebcf301a1bf7531894f86504f3880e,22ed38e030364b9746c3b026959c9f492c00909b37a85bcf066cfd08f440c6ec,source_p1_04387
p1_04404,test,sitting,0,330,79,554,409,7bbcdf230bfb6abf93844aba19ac1e25e0b89762591ba4bd85f3c3e59f706893,a46e6f932f4d1f343b7e4b93a0d2ed11fb8b7a4767dcee93a8a2b453e845aa70,source_p1_04404
p1_04828,train,jumping,5,175,3,289,438,060c69ff3d0168c8926c0723df5eb061f2b0b3996eee5b127fd6ff8d8e70709e,2b6cab17685888133617dc6d5a9a2d29db037a96ff110c9126a63b7d18d9acdd,source_p1_04828
p1_04831,val,walking,2,99,56,258,594,20ac7839edf768f859831538445807e6fe30e3f93b50b5eec43b89817725172d,d5df59a236740530af6198236cf7b8de2a3c05f1795c02b28487dd0937b15131,source_p1_03681
p1_04944,train,stretching,8,238,4,368,338,f55a6e0b569e93fb1a0dca60e84f08c65797f509e37300473ef0b665db9d034d,ee04190dd2332fd661bbcd770502390bb7d011108813ca93b1030603efe43c84,source_p1_04944
p1_05016,val,sitting,0,64,82,339,594,2a60a5a638b40e2634b57e27ea4984361d350dd7b96b5d85615eb3354571791e,737e07a5698c682895bb2499905deb31f3297d628e8ddd6f052968fb80509295,source_p1_05016
p1_05026,test,standing,1,66,54,271,594,e8b985f5ba9168b457923ddf8cf7c492fc5caadd8f9efdde0503e961f270553c,d36fea48d5c5330fff4fa2caf58066a3bd724b4004c599b243a9c4eb43dcf691,source_p1_04387
p1_05213,test,bending,4,6,125,194,386,9ea082f361652f325fb07814f97bdf1668a3db190863daab27bb534a5b65be17,a4d85637fa83f2b9481b7407dcb1176804288041753303e815c315862aa8e676,source_p1_05213
p1_05272,train,standing,1,201,19,372,359,1888712f6115f1bba99d77503d8d95271406d47eb7077dda452f0a979e8f332a,64609e83770bb80dfe2ce44ebada9b162c774cc4dc91cfebb7ee66fb4579d5f1,source_p1_05272
p1_05881,train,sitting,0,196,22,483,549,a432470063f60b548c41be56c73b898b3ce55bcc52d922519c14cbaefe1db3e5,7928fa8ec4613a3b33fe9fd49c8896df7f082380c50cc573237f5a51f0023f49,source_p1_05881
p1_05892,test,standing,1,233,101,381,510,09705d387763a75098b1296436734715254dcee68c96e8354dde71b2d5831b26,e5ed6500df6e343c9519f1b83dec07f2fb2f033312500b841c2bb54a5f0f6e87,source_p1_05892
p1_05934,test,standing,1,151,33,246,329,87f3ab01612c4b6f33348af84a3a888dce23d0c18c44061ea74ed0a78a804372,67cfce1579943999d1e85eb04eb509bb8b01ef60a61b58db713c23343347db2d,source_p1_02891
p1_05980,val,sitting,0,111,62,286,509,498c1121b85a7fd35085842fc4f89ca08ee77e3b899c235bfe492edd74267f5d,f8d967a67a42d5882e52e3bf12d895d4481fa83a1958a356afd4381bad2a10ec,source_p1_05980
p1_05991,train,sitting,0,0,68,358,584,75d1498e29721487f80b4bc4ff8074528fb6a62bba2b2ac05fc06d274d563d02,027ecd68ce46c06ad046cda548c8572cb618b318f6d9fb14346215ad8b857765,source_p1_05991
p1_06016,train,lying,6,119,55,279,401,f54f7375ce6ef0dc3da4b38396dcb3b739dfb6b8022e88d3ae15c67d698e442e,d4577b0e497abaaadd23bcddc13a2c20291907a405d2f27d30af299db359f1d5,source_p1_06016
p1_06059,train,standing,1,193,164,232,326,249eb19c9d7d12d9157d1d262bfc00725160027f133cf8894b235d11e18de37f,6dd7b8fd228a332f53ba4a7a8729c6bb1242acccbe5c7ed97fc3e7cf557b8d8d,source_p1_01667
p1_06145,test,jumping,5,82,248,349,396,1a497aaa84672e910622e4503e7b78e6c05b3557b717c2e765c6b23452b94b39,248acc985ffe070721cb75143249e77058ffe10296028adc250224ffddd87c15,source_p1_06145
p1_06152,train,lying,6,9,213,339,435,b7dfcee9b9ef150329b9318272beba3d6fe464f74c7fa689237709dafd61e3c1,d3a9e086d4cf4018bb97db068feb3f2c650ec4e99bdbd8a19605c6585f8b154b,source_p1_06152
p1_06161,test,standing,1,31,47,299,589,6e7a82cabb2bca43809f9ea9d6ee46342f4604b83f25892461ba082606c389fa,110017a1c57b7c7363a977f4119ac8642813632282d1907ca64dede82cfc3e58,source_p1_06161
p1_06197,val,bending,4,11,28,309,507,a50e7137e2f226c6f6eeb4ffd065a77e5d3fec058b66007ebdf92d81652053b7,40e9212e62cf2eeacbcf2ebee6b8eb1b14016478e4951ae2aaed9674d7e4e285,source_p1_06197
p1_06375,train,sitting,0,87,97,237,328,1d323598b230b820f87b65e202e78e9510e5623191b87d3f561c43b316b8ce44,25d839fe2dac3f8448f11e912f480f9f183bae6020e4b71d65d2f28ce3a6a934,source_p1_06375
p1_06433,val,bending,4,202,82,334,429,6e6a468a98a81f95a433d7a75a0443b0ada1c3dd47022006cebc4e74fe8d6455,d273cb9ff94ff57c929fc12a69914addac37adb62975d7c7f082091b49125503,source_p1_06433
p1_06653,test,running,3,205,157,288,373,57f44f9520059ed8759e93e22c9b86c4658fc6386974e261c8015b2b9e94680c,49dc8c2f467c1da110b7d2529d23b6a44440928c9672d9a1776996b1a10b142e,source_p1_06653
p1_06841,train,stretching,8,7,55,102,147,a3128887f7a6bcdc8910700562649add619f17f123bcd2c02af9870aef7cd695,f22110e1b08af6f08af38497eb17f07fe92cc480a59af9525be3764510ebaa7f,source_p1_06841
p1_06927,train,stretching,8,195,13,413,304,8363f377ebb7edc76417da9990552b049bcc8944072b23add21fdbee2bef73a1,f2e445c8d8dcdad770c41bc070cee9ab3af2495a090a55f647298407145f8ef0,source_p1_06927
p1_07140,val,sitting,0,87,20,356,530,2e806681becfda36eb6927626d6dc49be71dd4bbd8e98ffdabdb5613477f168b,3d892156bb3cfe5998ee5890373a59b1baccfa98216a071e8bd25a671b21f543,source_p1_07140
p1_07180,train,stretching,8,25,32,151,105,562b7eaba0e639f8fea93d1a2fcc2bc3ea5df72c5b233ea470d65532fdc42c83,3d1c3f147424683121dcd9920e0ef49e5f96d5a136d533e7aa0f5ead80a860d0,source_p1_07180
p1_07190,test,stretching,8,57,150,300,367,294657e6515a04a79760c6df62462e0801ceddc622ad034ae586ecd27d10c7bf,24b8ba14d561d388dce97b84fc1ed8c7a3028291cb4f6a100a8c2da09945b83d,source_p1_07190
p1_07242,val,standing,1,108,18,240,388,47ba8ac32e979f01d87b8e4fc2fe7a7105cbb4725e5f48aaad915e5236f0223a,a33235bf0ead2b210ca7bd6d04a3bc92ba6b6a287edff34e56dcb8a0c94041f5,source_p1_07242
p1_07440,val,squatting,7,31,173,201,461,48db5428001216008cbdb749cdc4d6ea44164ce66d8e72cdcc8415678e9e2b4c,3bc33bdb543062750376301c6198d609d7b673f331e581d714174f3dbddfd520,source_p1_07440
p1_07487,val,jumping,5,378,134,506,286,d2667d8efa620c295e2033b88d8b3cccb22861fb932a93ee6a9240cd4a4f4c41,8672a4f36fca74f7f9de6635a304ea475278d0671b5dd4edd15189729aed6392,source_p1_07487
p1_07797,train,stretching,8,51,12,128,72,dafdee569d37d97791a024bccfc964e9b643b26d8f4d61cc2555d14d32ccbcb7,91fe8c91afc62da052c3919621812b79b9cc08ff3657c2eabf6ea16dc114eab9,source_p1_07797
p1_07849,train,squatting,7,48,153,209,481,20e441b1a885217e16bca870abcb2cfabf7e0078a14294c1454630219feb97f8,e7df9561d0beee19786c1052c4c1b67ecf336141caf43619fccf1071f652d504,source_p1_07440
p1_07949,val,bending,4,118,112,268,333,cf9da19dcb0ad7b1f73d716f7f03c2d624ace2bd54c7908947e1d1d0630f8861,45583bba94672d67d81875a4507c0fa60e0dc3c5c0ebb95a41782f9912a0ed1d,source_p1_01905
p1_08105,train,bending,4,250,93,424,563,8e65cbb0d87646e17147c84c400032ee719da1291722fba80a0463f4db633826,2da6180360f5813a36353bc3c4f91fe354d53149da1ceae5b51f82eab678516a,source_p1_06433
p1_08286,test,jumping,5,39,3,281,443,fee0ee74c3d9c72a7cf9bbc09db792643d1b1e1a32d89e59081be1a31618b405,10a336c78de8c2c2bc52010966d73306dd126e152287ae4bde53ae73b5029c8a,source_p1_04132
p1_08322,train,standing,1,253,63,480,386,de42e58b49864c5b5b35b839b2ebeed9d7e3efca2f0f4ea8be075abff8df2160,41306f8e1fcc201789d76bd4bf9b4df1b0811edcdb4adb801b8e4d7e24afdb3a,source_p1_08322
p1_08323,train,sitting,0,29,76,383,522,8ef461d9c6e6312752bb9e042d9703f78db0e36d65a10232817fd21a84300ed0,8c4c698db4af2cef646afef7b6c9fac79d5cea3c9999c4d04d4131e9503bb966,source_p1_08323
p1_08423,train,running,3,137,72,262,436,13761a631d6f3955c9e35e7c0d0e28405a859081b915363b621afd9e0efda32e,3368cd5ec2dde94d6902da35ea5213cdeb828b1c6f69d54d4c87c2801c0fdb9d,source_p1_08423
p1_08487,test,bending,4,197,22,334,202,15351ad93ff91582c217a7dc774d4276c972cbe5a832d353b34bdbcde9b520e3,82c02da47cbd47e79e3e8539684cd0957c5224aeaab56efea3e8a25a202d2cd5,source_p1_03611
p1_08813,train,bending,4,37,75,316,404,6b8d7108eefb4654e18ffb55754828ee2045ca82ad972f9da625bcb56d87b591,e9baa14fe50ced23e2026d9da7d57807a456ec9eb47ffc0098cd1c8f68c486bb,source_p1_08813
p1_08839,val,bending,4,117,119,284,359,9f4b0a8bbb9d682a7cee80da29775f5de93771c260d8d7d4962f89ac0b3bbff9,62124b040b7afda9e7a45b8656ffb95163f53d8f91072e6d6eb09c3fb77f919a,source_p1_01905
p1_09084,train,stretching,8,232,161,283,274,888b2dcb036fef6bb708a685844577a1efb6018383a2ec4fc9fbcdf846d6b184,5510340bc33b19b93f87e781720b4053f6b520e55df34794907ca55daa237c06,source_p1_09084
p1_09200,test,bending,4,154,117,362,594,99b893132de2e9cbc8db39d040248afc842fd87454ca747d08331fd8b44a5c50,c4473d41c97837ba892fd851e2671dd139677f6393369d8e9357e226a22fe5f4,source_p1_01905
p1_09239,val,squatting,7,54,12,402,427,f331c989ab93eb84e7596cbe35cc91d474515c70ccea5c32936f8c1d615a8b68,217a0b7b88169983ced85752b9254ff62bbc18a95907cbe58c90b1d7a3814467,source_p1_09239
p1_09325,train,sitting,0,68,87,348,594,03ae456b534cffddb4f9f3c6dbc0586658bc0a193e1cc27addc3cea6f2fc788d,b2647f86f99b0cdd62789dfbf9229b047912c27e1940d13e358fdb4e8f21e609,source_p1_05016
p1_09328,val,sitting,0,184,80,330,292,ce3e4bf91338018b6cce5d7aa8cc22fa0dfb3cbbc2bb6e61203e610919162b6a,275a0d82795a09582b5b63b0d5d6cd7b4db93fd1d1a6b1bbaacd8ca964d067fa,source_p1_09328
p1_09409,train,bending,4,124,20,326,426,56620dcc1bcbb18acc1ef0045b0aebfc2b6219960c327983e69ab3b7a3c640b9,bfafb1b033848d092658fb613c803bab4da6a18a4321b167d5d15f78fb79de5e,source_p1_09409
p1_09469,val,standing,1,64,44,316,406,a2a8bdfef516d9e9c882e66471c8b70427ede7e33d45ab8bc51a175fd9d74143,262fcf04c53cb0765943b2abef6dc1ca2a75ed56d7099aa09d264eeddce21e06,source_p1_09469
p1_09525,test,sitting,0,30,48,367,508,c818d4afddb0e9e06a1e637797dad1098b860a235d03db2d1a2564b7f7baa550,a9824372ebf85b4cc68b4a54cca1e77e696335db41ad36a8b01ef366930f4cca,source_p1_09525
p1_09545,test,standing,1,10,61,290,410,d7bb194480282cfc8c398b75b181dd1eb44df4506f3d4b870abeb3a33e0944a0,f0df36b9552198bb817df9282e1bf16af44b6ab6d956afab96517832823a8751,source_p1_09545
p1_09935,train,sitting,0,98,25,362,376,b257ea94ac331693346800572969e5ca9cd0ce47bef49d00a8c5fb1f7dc00e41,ce26fa01af8da6dd809dd5b08651d9edc8c414bbdc7b1523d75e7356d72cd88a,source_p1_07140
p1_10408,val,jumping,5,310,114,438,279,3590c59b8c1d86389d3ac79b02a8e5bbe2d386d955adb91177d4027ae8ff2714,6e8cc47ad02c4372ff30223fe6299fefbc580a5a54f7a2d11a8706340c75ee20,source_p1_07487
p1_10482,train,stretching,8,48,16,87,162,eea9fc23a52c53d6f7153efa7a688c0a8cb69e37b39be74b3368f7c1b8233ff6,6710a19f07d6db9ab6915c4d3361a0ecc2cfb4539d72a609c88930a2e7b5879e,source_p1_10482
p1_10840,test,stretching,8,30,34,92,170,8a563d3ec6ff5e920cf7c22afe795db6160628eec4a019135a59bd1b2e6591de,8d14d34444eeb3c2c8bdb4d210136b904f23651e05349c52c193836a5e219f80,source_p1_00819
p1_11092,val,standing,1,194,30,362,359,e4c835e92aa330e5a613322b732c658aa8ed3bd49d331bc53f10c0307f65e3fc,c6e6823d923d96fe153da1220f4c6a06607df023bb08d9d72a41b46852c2c18e,source_p1_05272
p1_11148,train,sitting,0,153,2,511,393,791504e94a0fd2adcb5c4d84841911c49c7abee277b0f7ca419e88558266ffc7,24e193c4252ed52d9dddb719cbf742d6eadadf8aa90d72e76bfc9b5e7a8f0fbc,source_p1_11148
p1_11307,train,sitting,0,3,199,272,568,5052c4cf6869bbc9633512b0a8a8970e32281b726b180e1f49b879cebc072b54,732f12bae27e50dcc8704fc603a45d7e0c4d398bcdeba443ad932048636c865b,source_p1_11307
p1_11330,test,squatting,7,38,14,279,364,9b58f532d6bcd7419b9582d063bc3738967c2e511f947d27eea3a8a4ef8770f8,1de083e45b29b4077f324a28d8dae8423885eaf40075a61b808ea399114dea44,source_p1_11330
p1_11429,test,bending,4,192,221,487,552,6e8edf7397edd0502c65fe8dd01799fc3e988046ba97820b01eaf544a8a5613c,d0a5cb69e0bef33ea473068b3aa9528f596fd21d1ea85df13c39e7243420295b,source_p1_11429
p1_11583,train,standing,1,61,39,308,482,10ffcaf18afeab8143bc3d144da8b624d9ea4934f0f3f5c79328f7358abeb97e,2b6ef1ece032ad67892f9e5d97cb56be07857c2df983bc6f67bd33d228206d3a,source_p1_09469
p1_11607,train,squatting,7,96,30,303,445,d756a5e357539b6bde4c28560385db28d13511408a494d2f036e7d2fab29bdc6,f137f48e50aab904870fec3190f91d35a78970d0677d5fbd561529acf6103212,source_p1_11607
p1_11627,train,standing,1,22,73,343,580,c289059453cf9f55b024c72eb26de3c067cba047c347db87d261606381be8032,69d3a2e2a1eaac851cc1d121c68f4fe751046699074cd6731911e889a7645dac,source_p1_11627
p1_11870,val,bending,4,35,104,334,453,36fb2f7dc9d4a82b494599a2ed8b998fb731dba6d09186f20977b5e323510337,2fe374c5cc514278909ff94382c9bc0507716718a09a1eb71187ce33d8097c80,source_p1_11870
p1_12110,val,sitting,0,99,107,288,409,761195ddabe9e0b3f1530488576f4cf087ef547c901ee5b472bd90849a407bb8,e2ec0d68f1719fb6245817208a1a5bf8da65a620b4a99a96609c61b07eec5bba,source_p1_06375
p1_12235,train,jumping,5,36,6,274,354,fb0fc9b3b05a474c3987920431e72ec9b90d39f6350a4f3e957d900a9f5ba2f4,8df7ebbb47215f3578f3f1edd57987c474610ab854a4e209396c4d30278ee866,source_p1_02145
p1_12489,test,sitting,0,129,43,336,495,5a06f82fb9804c5b2e3de97cc32acf4706c1bc9eabcd4ac41a3298aa1152c4f3,5e2f0f80022db8aff63943659a607cc85e15c6a05441a923fb0c195b64719d76,source_p1_12489
p1_12524,val,standing,1,48,92,311,513,77b42c488b940f5e6d4cf4b4e531c64237f6eafd8fb5a198413a9bd4d89092e0,47bb806a4fe8067f6db8e4edd9afe25e31170d9ee183e157c4fc2c1649007f33,source_p1_12524
p1_12735,train,lying,6,7,23,129,81,818422c16b0d9ad88811c61ea9885b1a23b800be59022589e65cb8709a9718b9,52a12d1be6068b79ba485460342d40376622ea1f00662835f33d35d51602dfbb,source_p1_12735
p1_12838,test,squatting,7,0,6,355,378,f2ae5097642a982f39f323782c1a7bee2db903f18e10e846cb0aa7ccf53dc47d,4d69332f2f06e4ddc51d11a845c0c637ea2524acf54a3e454e067d18e76b8050,source_p1_12838
p1_12841,train,lying,6,17,20,175,444,006fe21d94d76d984671005146e23c38004304adb7648be6d39d38b9f9ea93e1,150fdee3102bcd21400881fbfe050b7e334a9fe3eaba8d68f7e556279431e230,source_p1_12841
p1_13045,train,walking,2,23,10,342,507,e4368a95dd3f4db1e9c1de2acc556fc3933261af83c495b478913f466bba82b3,7b8e39271e3889a4440dd85a7e13c3ccae31bf4a97689b4323994a6c7df1f1f1,source_p1_00305
p1_13639,val,sitting,0,163,1,507,396,059e699ea8f01d86190effb439309d56a3cf20c2d0924b671dcdc92852c12d40,8914a4f15b348c23726931d09b556da132747a63db65e4758c5849d381cd1b1c,source_p1_11148
p1_13751,train,squatting,7,29,9,122,152,5afaac7fa66f02ff25bb70c88d8bf0cefce78b17a64c4be2748325221a4b635b,50841580c6c7e06e1042c93ef2641e23341fdae6ed7efff58827f6eb2d13b996,source_p1_13751
p1_13959,val,bending,4,144,13,508,339,20332791a326c63a606f971875597bedb80124b354e11e6bb3d201cf692f9efb,0486633dd4d68c2f2f280463cc5b5e1328c50f99d3b9ae8df02eea1a2a9f6986,source_p1_13959
p1_13979,train,sitting,0,340,75,544,406,d6cbba543e338d6fa7b4aa4599dd853834fc08048e8ea1e1fdcd0dc6971aed45,7231bca11914e48e7240c6a638c177b6e87a7dfde32491d6ba0837b2e7d53c97,source_p1_04404
p1_13984,test,sitting,0,17,93,379,470,5fbab281c83ddb94dd44e1a7dc4924ba0ccba4b2789e36a98242b863bd627629,845582ad3a4af4b6650a93d5bc4b94392de004a571e96845801efa9361de8de9,source_p1_01165
p1_13987,test,jumping,5,138,2,229,352,f6bc0b943d1b87d9646a689b0ecec9fff97b74de0c423e123ca6920ebe2d9b2d,c3d64f74bdbb4c08f03238053440dd858e50d0b7c02f8145a955dddf19f33a03,source_p1_04828
p1_14161,train,standing,1,237,103,400,490,c70f336bc83900e4bd811c449e1482dbb18316da68de4b76a3beb96c1edeb118,69fcafade4b5028272547ac7ce7e90b9104f25209cb7909cfb04ddbdd9d74932,source_p1_05892
p1_14169,val,running,3,114,63,309,312,f0adc16b55e50deb6a5412fc261aa5aa2548d0e6c97d8769d1bdc1d49b7ecf4e,a5ca42c190b367420b41a147b63dcc404795f484faa84877baecc8c7c37483a8,source_p1_14169
p1_14210,test,squatting,7,113,22,245,284,18e08d95b9f1939c033e8c0d82a22a2a94979190d9fc2136de8511eb6366d40a,4d65b612a0c606b7eaac9e3358baed30a531b6388b543e251b74828793f761c3,source_p1_14210
p1_14286,test,sitting,0,21,48,333,506,81c039e3abbb9785f93be6df0e86045a2bf47fe5a462a992fcabc30c36383f25,0b7b3066890c537800fc883bc242af94404284f7175dbcdc809be520e017cb84,source_p1_03657
p1_14363,test,bending,4,18,51,206,339,cc4d8e3d110ef964559bfa5f44e4c4d7ed5f32cd9cb4a563a2ed398bf9c2641b,b8b7c0ec612efb3f865e62c1d0eed969e957d9094c7388c66118ddf3855d44d7,source_p1_14363
p1_14520,val,lying,6,10,22,95,69,a315e3c7ba6df503c0e273e910317c42c16f5565b54db555e495acb08b05ae22,73b789c4c9379ee55ea044ee6cfc528281c724e3182b8a0163dd8950eef33cea,source_p1_14520
p1_14682,train,stretching,8,17,20,157,113,bf4c096b52f6df659027832ec18faf14314eae352752929ffefb05983834f0b1,2bc436bec4b543b75f255efe52bd1811ab504823863df6ca2dabbace16223759,source_p1_14682
p1_14724,train,bending,4,0,0,330,415,a3718685b20ac83bbc0eccbdcdb0edbbedfe089e378a8474af1e624059c40ede,e704d3abaaa6b6fa0d8e7b85933fa4c5b49b7b91f193372b96b3dd88c72f95e2,source_p1_14724
p1_14742,val,standing,1,72,66,379,594,2bf9d2279ec5104597e00aa4220dd878fecec4182c37d77644764c818bfcb3ba,07dc5c71e8a8e5814ad4919bc31bc5476bdb8496885473fe569b5cb06b7b29f9,source_p1_14742
p1_14793,test,standing,1,260,55,478,384,869589d101144cd14884b74c06a8e989e788163a69ea00d54e9a70556ae11def,bda49f24408469f9eac5eb722bc8ece47fb46e07629df0e1a9a0b413ff56cc7c,source_p1_08322
p1_15016,val,stretching,8,18,21,169,86,f91bf5dee05fd6b062f2970d1c4dddca6ca76a223d9d5280658270f013493914,83d9a2616b6a47678f3f9b205427e01844ee5823c2718c6371eab5d225c21d05,source_p1_04237
p1_15063,val,lying,6,27,64,113,162,4c4973d1b2d0015cc018397ea30104d461ad84aa93664b4b01b3fa3076a12346,55a0fecc1056c7f97010ed4058ecda803275a5d7ecc116ba1e08a5cbc9f373a7,source_p1_06152
p1_15110,train,standing,1,38,50,311,460,ec4ad006a03bb7bd8efcb885960836b212f32c7e8dfac04158dc243ef862b828,09bd25819894a97b6425b5cff3e46afb93d6e3fb45ee54dfc70f337bcdc81682,source_p1_15110
p1_15142,val,standing,1,227,163,268,306,daa79311d2d58eac6717e33f98d5533d089eb583656a4fbc210cfa24f17251ce,4dcbb1e43339472b50f89feb7dbc8c638e9ee2c0a627e2c0e665d01670e7e938,source_p1_01667
